TF,estimate,confidence interval,p-value
MA0612.2,48.76257138073226,-0.8957421284036102,0.001552846204770511
MA0478.1,8.5377355427447,-0.8935110292421256,0.03610617406587921
MA0713.1,27.055597628705208,-0.8649935832593056,0.004261441932265774
MA0780.1,-8.829764428592753,-0.8557958382475517,4.248531022953509e-08
MA0701.2,47.3108162312821,-0.8392246464548987,0.0058163822025773596
MA0132.2,47.3108162312821,-0.8392246464548987,0.0058163822025773596
MA0618.1,47.3108162312821,-0.8392246464548987,0.0058163822025773596
MA0075.3,47.3108162312821,-0.8392246464548987,0.0058163822025773596
MA0602.1,15.601209092242879,-0.8179038234471071,0.027041422141187172
MA0715.1,16.00405796797763,-0.8089852909633513,0.020283331321900223
MA1549.1,-4.036572032387677,-0.7533583886933526,0.035228491941849197
MA1519.1,47.85153513696334,-0.7082771440175777,0.0031380401686930256
MA0027.2,47.85153513696334,-0.7082771440175777,0.0031380401686930256
MA1867.1,17.13571637208782,-0.7080020688472917,0.020441159643433505
MA1624.1,-5.042590224830516,-0.6888255239318324,0.01230960737898525
MA1150.1,-4.8584722583308615,-0.6657254618636042,0.03147366827721041
MA0787.1,-7.996264419509131,-0.6514091406848146,0.010209916593739628
MA1577.1,46.35650674291949,-0.6333266564127646,0.010251436178920624
MA0889.1,-12.79356248956484,-0.6327629934773082,9.798714628354503e-16
MA0136.3,-8.523458748051715,-0.6111427693145013,0.011608917963962418
MA0893.2,44.248261433641346,-0.603880394028083,0.01267750271492504
MA0786.1,-9.984579485342278,-0.5626534443932585,0.003085360265031993
MA1872.1,-1.82835746411167,-0.5594370853016041,0.04401562578395512
MA1125.1,-7.487346656055965,-0.5074810360214413,3.468923696412202e-10
MA0795.1,-9.354526274545446,-0.46469913957501685,0.026390922685670695
MA0149.1,-6.812908892637937,-0.44468771783696714,0.018132001203898167
MA1646.1,-12.306814234506339,-0.4311195798416427,0.007373667205807265
MA1487.2,-5.050682991032465,-0.42780194988680054,0.013637429524825976
MA0785.1,-9.813316791981341,-0.3978229728164888,0.025272572871595234
MA0041.2,-3.1044670303047086,-0.29970427423735857,0.014288170546274149
MA0706.1,25.791498965954695,-0.2241487167337406,0.037511951481952924
MA0846.1,-6.781377041682703,-0.19305502736222224,0.009956511056419301
MA0847.3,-6.427905001181055,-0.18486706293100846,0.024723975853014463
MA0681.2,-5.855294735590676,-0.15636410707436127,0.0018225833352029294
MA0757.1,-6.367743097554266,0.007643101939393604,0.04043152338743823
MA1623.1,-10.696657984155193,0.06462407253524194,0.001922845764535943
MA1113.2,-7.057698645647563,0.07227329308080449,0.0465991007576831
MA0679.2,-5.998555771982235,0.10978242999287047,0.017410743764247155
MA0050.3,-7.396004628794102,0.14091803774591655,0.03830533617211595
MA0745.2,-10.33858689149545,0.19410999083023173,0.03423015572803981
MA0851.1,-6.999234495935448,0.20908764610001476,0.0011368835803160385
MA1621.1,-9.132334902727834,0.22328963183872858,0.04367258011845323
MA1152.1,-13.278422671582035,0.2602728037501114,0.029829191695098022
MA0003.4,-11.906409794751468,0.28240863734827404,0.033625987501793964
MA0046.2,-7.068847322710426,0.3465917509013222,0.04217415161097137
MA0517.1,-9.825517841093859,0.3566091461788544,0.04296973509619607
MA0631.1,-9.39854947904775,0.367060565775325,0.031464529571283456
MA0901.2,-9.29774608571169,0.40015487728059906,0.0487802107638992
MA0103.3,-17.059389127042575,0.5462086486843,0.012870903963833221
MA1709.1,-10.537319056353223,0.6107172252789906,0.04572578846928776
MA1631.1,-15.797491806270855,0.7090324354727667,0.01050106257562513
MA0522.3,-21.603010471910512,0.9473221926424572,0.03816856390060113
MA0772.1,-15.028321421819612,0.9943391440009072,0.046860343008773946
MA1629.1,-16.277331219115542,1.3313985555294274,0.04083814472024047
MA1648.1,-26.464319150337534,1.3574372738488816,0.031506247610165704
MA0900.2,0.05719142978694389,1.593497371015764,0.032124816022863656
MA1495.1,0.05719142978694389,1.593497371015764,0.032124816022863656
MA0904.2,0.05719142978694389,1.593497371015764,0.032124816022863656
MA0080.6,-20.370795781657584,2.2701287788324405,0.03904245638059778
MA2046.1,-26.95524466137737,2.3163703757716965,0.010488815429880482
MA0473.3,-28.289200103110712,2.465168281356145,0.025995963263069848
MA1787.1,-25.520449504785013,2.4872200632297785,0.04471545151992823
MA0640.2,-34.114369526035894,2.9285723047082515,0.020029431994104292
MA0732.1,-88.20462214361908,5.9585811883544375,0.006914028372988926
MA1127.1,-1129.0545709249,74.22966494584912,0.019818091263281244
MA1140.2,-973.0460654813862,74.61262597514906,0.04054868728380055
MA1131.1,-1591.086090939693,109.90169874275455,0.035468907100785096
MA1139.1,-1616.0900299950436,112.56245545200596,0.014477651127519508
MA0605.2,-1616.0900299950436,112.56245545200596,0.014477651127519508
